token,n,N,log_factor
consid,1,6,0.8450980400142568
consist,1,6,0.8450980400142568
constrain,1,6,0.8450980400142568
consum,1,6,0.8450980400142568
contain,1,6,0.8450980400142568
content,1,6,0.8450980400142568
context,1,6,0.8450980400142568
continu,1,6,0.8450980400142568
contrast,1,6,0.8450980400142568
convert,1,6,0.8450980400142568
corpora,1,6,0.8450980400142568
could,1,6,0.8450980400142568
crucial,1,6,0.8450980400142568
current,1,6,0.8450980400142568
custom,1,6,0.8450980400142568
data,1,6,0.8450980400142568
dataset,4,6,0.3979400086720376
deep,1,6,0.8450980400142568
demonstr,3,6,0.47712125471966244
descript,1,6,0.8450980400142568
design,1,6,0.8450980400142568
detail,1,6,0.8450980400142568
differenti,1,6,0.8450980400142568
difficult,1,6,0.8450980400142568
directli,1,6,0.8450980400142568
director,1,6,0.8450980400142568
discrep,1,6,0.8450980400142568
discret,1,6,0.8450980400142568
distil,1,6,0.8450980400142568
distinctli,1,6,0.8450980400142568
divers,1,6,0.8450980400142568
dl,1,6,0.8450980400142568
document,3,6,0.47712125471966244
due,1,6,0.8450980400142568
e,1,6,0.8450980400142568
effect,3,6,0.47712125471966244
effici,2,6,0.6020599913279624
emerg,1,6,0.8450980400142568
empir,1,6,0.8450980400142568
enabl,1,6,0.8450980400142568
enhanc,2,6,0.6020599913279624
enough,1,6,0.8450980400142568
ensembl,1,6,0.8450980400142568
essenti,1,6,0.8450980400142568
estim,1,6,0.8450980400142568
evalu,3,6,0.47712125471966244
even,1,6,0.8450980400142568
exhibit,1,6,0.8450980400142568
exist,1,6,0.8450980400142568
expans,1,6,0.8450980400142568
experi,3,6,0.47712125471966244
experiment,1,6,0.8450980400142568
exploit,1,6,0.8450980400142568
explor,2,6,0.6020599913279624
extens,1,6,0.8450980400142568
favor,1,6,0.8450980400142568
featur,1,6,0.8450980400142568
feed,1,6,0.8450980400142568
feedback,2,6,0.6020599913279624
field,1,6,0.8450980400142568
fill,1,6,0.8450980400142568
find,2,6,0.6020599913279624
fine,3,6,0.47712125471966244
first,3,6,0.47712125471966244
flan,1,6,0.8450980400142568
focu,1,6,0.8450980400142568
format,1,6,0.8450980400142568
formul,1,6,0.8450980400142568
found,1,6,0.8450980400142568
four,1,6,0.8450980400142568
framework,1,6,0.8450980400142568
fulfil,1,6,0.8450980400142568
fulli,1,6,0.8450980400142568
furthermor,2,6,0.6020599913279624
g,1,6,0.8450980400142568
gain,1,6,0.8450980400142568
gap,1,6,0.8450980400142568
gencrf,1,6,0.8450980400142568
gener,4,6,0.3979400086720376
genqrensembl,1,6,0.8450980400142568
genqrensemblerf,1,6,0.8450980400142568
given,2,6,0.6020599913279624
goodread,1,6,0.8450980400142568
gpt,2,6,0.6020599913279624
grain,1,6,0.8450980400142568
grammar,1,6,0.8450980400142568
graph,1,6,0.8450980400142568
group,1,6,0.8450980400142568
help,1,6,0.8450980400142568
histori,1,6,0.8450980400142568
hit,1,6,0.8450980400142568
howev,1,6,0.8450980400142568
id,1,6,0.8450980400142568
immedi,1,6,0.8450980400142568
improv,4,6,0.3979400086720376
includ,1,6,0.8450980400142568
inconsist,1,6,0.8450980400142568
incorpor,1,6,0.8450980400142568
infer,1,6,0.8450980400142568
inform,4,6,0.3979400086720376
inher,1,6,0.8450980400142568
initi,1,6,0.8450980400142568
innov,1,6,0.8450980400142568
input,3,6,0.47712125471966244
inspir,2,6,0.6020599913279624
instruct,2,6,0.6020599913279624
instructgpt,1,6,0.8450980400142568
integr,2,6,0.6020599913279624
intent,2,6,0.6020599913279624
interact,1,6,0.8450980400142568
interest,1,6,0.8450980400142568
introduc,2,6,0.6020599913279624
investig,1,6,0.8450980400142568
involv,1,6,0.8450980400142568
ir,2,6,0.6020599913279624
item,2,6,0.6020599913279624
keyword,1,6,0.8450980400142568
knowledg,1,6,0.8450980400142568
known,1,6,0.8450980400142568
languag,6,6,0.3010299956639812
larg,6,6,0.3010299956639812
learn,1,6,0.8450980400142568
level,1,6,0.8450980400142568
leverag,3,6,0.47712125471966244
like,1,6,0.8450980400142568
limit,2,6,0.6020599913279624
linear,1,6,0.8450980400142568
link,1,6,0.8450980400142568
listwis,1,6,0.8450980400142568
literatur,1,6,0.8450980400142568
llm,5,6,0.3424226808222063
long,1,6,0.8450980400142568
loop,1,6,0.8450980400142568
mani,1,6,0.8450980400142568
manifest,1,6,0.8450980400142568
manual,1,6,0.8450980400142568
map,1,6,0.8450980400142568
may,1,6,0.8450980400142568
method,2,6,0.6020599913279624
methodolog,1,6,0.8450980400142568
metric,2,6,0.6020599913279624
ml,1,6,0.8450980400142568
model,6,6,0.3010299956639812
moder,1,6,0.8450980400142568
modern,1,6,0.8450980400142568
modifi,1,6,0.8450980400142568
moreov,1,6,0.8450980400142568
mostli,1,6,0.8450980400142568
movi,1,6,0.8450980400142568
movielen,1,6,0.8450980400142568
mrr,2,6,0.6020599913279624
msmarco,1,6,0.8450980400142568
multi,1,6,0.8450980400142568
multipl,3,6,0.47712125471966244
n,1,6,0.8450980400142568
name,1,6,0.8450980400142568
natur,2,6,0.6020599913279624
ndcg,4,6,0.3979400086720376
need,2,6,0.6020599913279624
neglect,1,6,0.8450980400142568
new,1,6,0.8450980400142568
node,1,6,0.8450980400142568
noisi,1,6,0.8450980400142568
novel,2,6,0.6020599913279624
object,1,6,0.8450980400142568
obtain,1,6,0.8450980400142568
offer,1,6,0.8450980400142568
often,1,6,0.8450980400142568
one,1,6,0.8450980400142568
open,2,6,0.6020599913279624
optim,1,6,0.8450980400142568
origin,1,6,0.8450980400142568
outperform,1,6,0.8450980400142568
overlook,1,6,0.8450980400142568
pairwis,1,6,0.8450980400142568
paper,4,6,0.3979400086720376
paradigm,1,6,0.8450980400142568
paramet,1,6,0.8450980400142568
paraphras,1,6,0.8450980400142568
passag,1,6,0.8450980400142568
perform,3,6,0.47712125471966244
phase,1,6,0.8450980400142568
pivot,1,6,0.8450980400142568
plain,1,6,0.8450980400142568
play,1,6,0.8450980400142568
pod,1,6,0.8450980400142568
pointwis,1,6,0.8450980400142568
possibl,1,6,0.8450980400142568
post,1,6,0.8450980400142568
potenti,2,6,0.6020599913279624
power,3,6,0.47712125471966244
practic,1,6,0.8450980400142568
pre,1,6,0.8450980400142568
predict,1,6,0.8450980400142568
previou,3,6,0.47712125471966244
priorit,1,6,0.8450980400142568
problem,3,6,0.47712125471966244
process,4,6,0.3979400086720376
produc,1,6,0.8450980400142568
promis,2,6,0.6020599913279624
prompt,5,6,0.3424226808222063
propos,5,6,0.3424226808222063
provid,1,6,0.8450980400142568
prp,1,6,0.8450980400142568
pseudo,1,6,0.8450980400142568
publish,1,6,0.8450980400142568
qerm,1,6,0.8450980400142568
qr,1,6,0.8450980400142568
queri,4,6,0.3979400086720376
rank,2,6,0.6020599913279624
ranker,2,6,0.6020599913279624
rate,1,6,0.8450980400142568
real,1,6,0.8450980400142568
reason,1,6,0.8450980400142568
recent,4,6,0.3979400086720376
recommend,2,6,0.6020599913279624
reduc,2,6,0.6020599913279624
redund,1,6,0.8450980400142568
refin,1,6,0.8450980400142568
reformul,2,6,0.6020599913279624
rel,1,6,0.8450980400142568
relev,1,6,0.8450980400142568
repres,1,6,0.8450980400142568
represent,1,6,0.8450980400142568
requir,1,6,0.8450980400142568
research,2,6,0.6020599913279624
respons,1,6,0.8450980400142568
result,4,6,0.3979400086720376
retriev,2,6,0.6020599913279624
reward,1,6,0.8450980400142568
role,1,6,0.8450980400142568
rule,1,6,0.8450980400142568
scrape,1,6,0.8450980400142568
seamlessli,1,6,0.8450980400142568
search,3,6,0.47712125471966244
self,1,6,0.8450980400142568
semant,1,6,0.8450980400142568
sequenti,2,6,0.6020599913279624
seri,1,6,0.8450980400142568
session,1,6,0.8450980400142568
set,3,6,0.47712125471966244
seven,1,6,0.8450980400142568
sever,1,6,0.8450980400142568
sgr,1,6,0.8450980400142568
shelf,1,6,0.8450980400142568
shot,2,6,0.6020599913279624
show,2,6,0.6020599913279624
shown,1,6,0.8450980400142568
signific,1,6,0.8450980400142568
significantli,3,6,0.47712125471966244
singl,1,6,0.8450980400142568
size,1,6,0.8450980400142568
solut,1,6,0.8450980400142568
sota,1,6,0.8450980400142568
sourc,2,6,0.6020599913279624
specif,1,6,0.8450980400142568
st,1,6,0.8450980400142568
standard,1,6,0.8450980400142568
state,3,6,0.47712125471966244
step,1,6,0.8450980400142568
strategi,4,6,0.3979400086720376
structur,1,6,0.8450980400142568
studi,1,6,0.8450980400142568
subsequ,1,6,0.8450980400142568
success,2,6,0.6020599913279624
summari,1,6,0.8450980400142568
superior,1,6,0.8450980400142568
supervis,2,6,0.6020599913279624
surpass,1,6,0.8450980400142568
suscept,1,6,0.8450980400142568
symbol,1,6,0.8450980400142568
system,2,6,0.6020599913279624
take,3,6,0.47712125471966244
task,5,6,0.3424226808222063
techniqu,4,6,0.3979400086720376
templat,2,6,0.6020599913279624
text,3,6,0.47712125471966244
textual,1,6,0.8450980400142568
three,1,6,0.8450980400142568
thu,1,6,0.8450980400142568
tiangong,1,6,0.8450980400142568
time,3,6,0.47712125471966244
titl,1,6,0.8450980400142568
tool,1,6,0.8450980400142568
top,2,6,0.6020599913279624
topolog,1,6,0.8450980400142568
tradit,2,6,0.6020599913279624
train,2,6,0.6020599913279624
transform,1,6,0.8450980400142568
trec,1,6,0.8450980400142568
tune,2,6,0.6020599913279624
two,1,6,0.8450980400142568
typic,1,6,0.8450980400142568
ul2,1,6,0.8450980400142568
ultim,1,6,0.8450980400142568
understand,3,6,0.47712125471966244
unleash,1,6,0.8450980400142568
unparallel,1,6,0.8450980400142568
upto,1,6,0.8450980400142568
use,5,6,0.3424226808222063
user,4,6,0.3979400086720376
usual,1,6,0.8450980400142568
variabl,1,6,0.8450980400142568
variant,2,6,0.6020599913279624
variou,2,6,0.6020599913279624
vector,1,6,0.8450980400142568
viewer,1,6,0.8450980400142568
web,1,6,0.8450980400142568
weight,1,6,0.8450980400142568
well,1,6,0.8450980400142568
within,1,6,0.8450980400142568
word,2,6,0.6020599913279624
world,1,6,0.8450980400142568
x,1,6,0.8450980400142568
year,1,6,0.8450980400142568
zero,1,6,0.8450980400142568
