token,n,N,log_factor
commercial,1,6,0.8450980400142568
community,1,6,0.8450980400142568
comparable,1,6,0.8450980400142568
compared,1,6,0.8450980400142568
competitive,1,6,0.8450980400142568
completion,1,6,0.8450980400142568
complex,1,6,0.8450980400142568
complexity,1,6,0.8450980400142568
comprehensive,1,6,0.8450980400142568
comprising,1,6,0.8450980400142568
concise,1,6,0.8450980400142568
concretely,1,6,0.8450980400142568
conduct,1,6,0.8450980400142568
confirm,1,6,0.8450980400142568
considering,1,6,0.8450980400142568
consisting,1,6,0.8450980400142568
constraining,1,6,0.8450980400142568
consuming,1,6,0.8450980400142568
contain,1,6,0.8450980400142568
content,1,6,0.8450980400142568
context,1,6,0.8450980400142568
continuous,1,6,0.8450980400142568
contrastive,1,6,0.8450980400142568
convert,1,6,0.8450980400142568
corpora,1,6,0.8450980400142568
could,1,6,0.8450980400142568
crucially,1,6,0.8450980400142568
current,1,6,0.8450980400142568
customized,1,6,0.8450980400142568
data,1,6,0.8450980400142568
dataset,1,6,0.8450980400142568
datasets,3,6,0.47712125471966244
deep,1,6,0.8450980400142568
demonstrate,2,6,0.6020599913279624
demonstrated,1,6,0.8450980400142568
description,1,6,0.8450980400142568
descriptions,1,6,0.8450980400142568
design,1,6,0.8450980400142568
detailed,1,6,0.8450980400142568
differentiated,1,6,0.8450980400142568
difficult,1,6,0.8450980400142568
directly,1,6,0.8450980400142568
directors,1,6,0.8450980400142568
discrepancy,1,6,0.8450980400142568
discrete,1,6,0.8450980400142568
distill,1,6,0.8450980400142568
distillation,1,6,0.8450980400142568
distinctly,1,6,0.8450980400142568
diverse,1,6,0.8450980400142568
dl,1,6,0.8450980400142568
documents,3,6,0.47712125471966244
due,1,6,0.8450980400142568
e,1,6,0.8450980400142568
effective,1,6,0.8450980400142568
effectiveness,2,6,0.6020599913279624
efficiency,2,6,0.6020599913279624
efficient,1,6,0.8450980400142568
emerged,1,6,0.8450980400142568
empirical,1,6,0.8450980400142568
enable,1,6,0.8450980400142568
enhance,1,6,0.8450980400142568
enhancing,1,6,0.8450980400142568
enough,1,6,0.8450980400142568
ensemble,1,6,0.8450980400142568
essential,1,6,0.8450980400142568
estimated,1,6,0.8450980400142568
evaluation,2,6,0.6020599913279624
evaluations,1,6,0.8450980400142568
even,1,6,0.8450980400142568
exhibits,1,6,0.8450980400142568
existing,1,6,0.8450980400142568
expansions,1,6,0.8450980400142568
experience,1,6,0.8450980400142568
experiment,1,6,0.8450980400142568
experimental,1,6,0.8450980400142568
experiments,1,6,0.8450980400142568
exploit,1,6,0.8450980400142568
explored,1,6,0.8450980400142568
explores,1,6,0.8450980400142568
extensive,1,6,0.8450980400142568
favorably,1,6,0.8450980400142568
features,1,6,0.8450980400142568
feedback,2,6,0.6020599913279624
feeding,1,6,0.8450980400142568
field,1,6,0.8450980400142568
filled,1,6,0.8450980400142568
find,1,6,0.8450980400142568
finding,1,6,0.8450980400142568
fine,3,6,0.47712125471966244
first,3,6,0.47712125471966244
flan,1,6,0.8450980400142568
focus,1,6,0.8450980400142568
format,1,6,0.8450980400142568
formulations,1,6,0.8450980400142568
found,1,6,0.8450980400142568
four,1,6,0.8450980400142568
framework,1,6,0.8450980400142568
fulfill,1,6,0.8450980400142568
fully,1,6,0.8450980400142568
furthermore,2,6,0.6020599913279624
g,1,6,0.8450980400142568
gains,1,6,0.8450980400142568
gap,1,6,0.8450980400142568
gencrf,1,6,0.8450980400142568
generalized,1,6,0.8450980400142568
generate,3,6,0.47712125471966244
generated,2,6,0.6020599913279624
generates,1,6,0.8450980400142568
generation,2,6,0.6020599913279624
generative,2,6,0.6020599913279624
genqrensemble,1,6,0.8450980400142568
genqrensemblerf,1,6,0.8450980400142568
given,2,6,0.6020599913279624
goodreads,1,6,0.8450980400142568
gpt,2,6,0.6020599913279624
grained,1,6,0.8450980400142568
grammar,1,6,0.8450980400142568
graph,1,6,0.8450980400142568
groups,1,6,0.8450980400142568
help,1,6,0.8450980400142568
history,1,6,0.8450980400142568
hits,1,6,0.8450980400142568
however,1,6,0.8450980400142568
ids,1,6,0.8450980400142568
immediate,1,6,0.8450980400142568
improve,4,6,0.3979400086720376
improved,1,6,0.8450980400142568
improvement,1,6,0.8450980400142568
improvements,1,6,0.8450980400142568
improves,1,6,0.8450980400142568
improving,1,6,0.8450980400142568
including,1,6,0.8450980400142568
inconsistencies,1,6,0.8450980400142568
incorporate,1,6,0.8450980400142568
inference,1,6,0.8450980400142568
information,3,6,0.47712125471966244
informative,1,6,0.8450980400142568
inherent,1,6,0.8450980400142568
initial,1,6,0.8450980400142568
innovative,1,6,0.8450980400142568
input,2,6,0.6020599913279624
inputs,1,6,0.8450980400142568
inspiration,1,6,0.8450980400142568
inspire,1,6,0.8450980400142568
instructgpt,1,6,0.8450980400142568
instruction,2,6,0.6020599913279624
integrates,1,6,0.8450980400142568
integrating,1,6,0.8450980400142568
intent,1,6,0.8450980400142568
intentions,1,6,0.8450980400142568
intents,1,6,0.8450980400142568
interaction,1,6,0.8450980400142568
interactions,1,6,0.8450980400142568
interactive,1,6,0.8450980400142568
interesting,1,6,0.8450980400142568
introduce,2,6,0.6020599913279624
investigate,1,6,0.8450980400142568
involves,1,6,0.8450980400142568
ir,2,6,0.6020599913279624
item,2,6,0.6020599913279624
items,1,6,0.8450980400142568
keywords,1,6,0.8450980400142568
knowledge,1,6,0.8450980400142568
known,1,6,0.8450980400142568
language,6,6,0.3010299956639812
large,6,6,0.3010299956639812
learning,1,6,0.8450980400142568
level,1,6,0.8450980400142568
leverage,1,6,0.8450980400142568
leverages,2,6,0.6020599913279624
leveraging,1,6,0.8450980400142568
like,1,6,0.8450980400142568
limited,2,6,0.6020599913279624
linear,1,6,0.8450980400142568
link,1,6,0.8450980400142568
listwise,1,6,0.8450980400142568
literature,1,6,0.8450980400142568
llm,4,6,0.3979400086720376
llms,4,6,0.3979400086720376
long,1,6,0.8450980400142568
loops,1,6,0.8450980400142568
manifested,1,6,0.8450980400142568
manual,1,6,0.8450980400142568
many,1,6,0.8450980400142568
map,1,6,0.8450980400142568
may,1,6,0.8450980400142568
methodology,1,6,0.8450980400142568
methods,2,6,0.6020599913279624
metrics,2,6,0.6020599913279624
ml,1,6,0.8450980400142568
model,2,6,0.6020599913279624
modeling,2,6,0.6020599913279624
models,6,6,0.3010299956639812
moderate,1,6,0.8450980400142568
modern,1,6,0.8450980400142568
modifying,1,6,0.8450980400142568
moreover,1,6,0.8450980400142568
mostly,1,6,0.8450980400142568
movie,1,6,0.8450980400142568
movielens,1,6,0.8450980400142568
mrr,2,6,0.6020599913279624
msmarco,1,6,0.8450980400142568
multi,1,6,0.8450980400142568
multiple,3,6,0.47712125471966244
n,1,6,0.8450980400142568
names,1,6,0.8450980400142568
natural,2,6,0.6020599913279624
ndcg,4,6,0.3979400086720376
need,2,6,0.6020599913279624
neglecting,1,6,0.8450980400142568
new,1,6,0.8450980400142568
node,1,6,0.8450980400142568
noisy,1,6,0.8450980400142568
novel,2,6,0.6020599913279624
objective,1,6,0.8450980400142568
obtained,1,6,0.8450980400142568
offers,1,6,0.8450980400142568
often,1,6,0.8450980400142568
ones,1,6,0.8450980400142568
open,2,6,0.6020599913279624
optimize,1,6,0.8450980400142568
original,1,6,0.8450980400142568
outperform,1,6,0.8450980400142568
outperforming,1,6,0.8450980400142568
outperforms,1,6,0.8450980400142568
overlooking,1,6,0.8450980400142568
pairwise,1,6,0.8450980400142568
paper,4,6,0.3979400086720376
paradigm,1,6,0.8450980400142568
parameters,1,6,0.8450980400142568
paraphrases,1,6,0.8450980400142568
passage,1,6,0.8450980400142568
performance,3,6,0.47712125471966244
performs,1,6,0.8450980400142568
phase,1,6,0.8450980400142568
pivotal,1,6,0.8450980400142568
plain,1,6,0.8450980400142568
plays,1,6,0.8450980400142568
pod,1,6,0.8450980400142568
pointwise,1,6,0.8450980400142568
possible,1,6,0.8450980400142568
post,1,6,0.8450980400142568
potential,1,6,0.8450980400142568
potentially,1,6,0.8450980400142568
power,2,6,0.6020599913279624
powerful,1,6,0.8450980400142568
practical,1,6,0.8450980400142568
pre,1,6,0.8450980400142568
prediction,1,6,0.8450980400142568
previous,3,6,0.47712125471966244
prioritize,1,6,0.8450980400142568
problem,2,6,0.6020599913279624
problems,1,6,0.8450980400142568
process,3,6,0.47712125471966244
processing,1,6,0.8450980400142568
produce,1,6,0.8450980400142568
promise,1,6,0.8450980400142568
promising,1,6,0.8450980400142568
prompt,2,6,0.6020599913279624
prompted,1,6,0.8450980400142568
prompting,3,6,0.47712125471966244
prompts,2,6,0.6020599913279624
propose,5,6,0.3424226808222063
providing,1,6,0.8450980400142568
prp,1,6,0.8450980400142568
pseudo,1,6,0.8450980400142568
publisher,1,6,0.8450980400142568
qerm,1,6,0.8450980400142568
qr,1,6,0.8450980400142568
queries,2,6,0.6020599913279624
query,3,6,0.47712125471966244
ranker,1,6,0.8450980400142568
rankers,1,6,0.8450980400142568
ranking,2,6,0.6020599913279624
rate,1,6,0.8450980400142568
real,1,6,0.8450980400142568
reasoning,1,6,0.8450980400142568
recent,3,6,0.47712125471966244
recently,1,6,0.8450980400142568
recommendation,2,6,0.6020599913279624
recommender,1,6,0.8450980400142568
reduce,2,6,0.6020599913279624
redundant,1,6,0.8450980400142568
refine,1,6,0.8450980400142568
reformulation,2,6,0.6020599913279624
reformulations,1,6,0.8450980400142568
relative,1,6,0.8450980400142568
relevance,1,6,0.8450980400142568
relevant,1,6,0.8450980400142568
represent,1,6,0.8450980400142568
representation,1,6,0.8450980400142568
require,1,6,0.8450980400142568
researchers,2,6,0.6020599913279624
response,1,6,0.8450980400142568
results,4,6,0.3979400086720376
retrieval,2,6,0.6020599913279624
retriever,1,6,0.8450980400142568
rewarding,1,6,0.8450980400142568
role,1,6,0.8450980400142568
rules,1,6,0.8450980400142568
scraped,1,6,0.8450980400142568
scraping,1,6,0.8450980400142568
seamlessly,1,6,0.8450980400142568
search,3,6,0.47712125471966244
self,1,6,0.8450980400142568
semantic,1,6,0.8450980400142568
sequential,2,6,0.6020599913279624
series,1,6,0.8450980400142568
session,1,6,0.8450980400142568
set,3,6,0.47712125471966244
sets,1,6,0.8450980400142568
seven,1,6,0.8450980400142568
several,1,6,0.8450980400142568
sgr,1,6,0.8450980400142568
shelf,1,6,0.8450980400142568
shot,2,6,0.6020599913279624
show,1,6,0.8450980400142568
shown,1,6,0.8450980400142568
shows,1,6,0.8450980400142568
significant,1,6,0.8450980400142568
significantly,3,6,0.47712125471966244
single,1,6,0.8450980400142568
size,1,6,0.8450980400142568
sized,1,6,0.8450980400142568
solution,1,6,0.8450980400142568
solutions,1,6,0.8450980400142568
sotas,1,6,0.8450980400142568
source,1,6,0.8450980400142568
sourced,2,6,0.6020599913279624
specific,1,6,0.8450980400142568
st,1,6,0.8450980400142568
standard,1,6,0.8450980400142568
state,3,6,0.47712125471966244
step,1,6,0.8450980400142568
strategies,3,6,0.47712125471966244
strategy,1,6,0.8450980400142568
structural,1,6,0.8450980400142568
structure,1,6,0.8450980400142568
structures,1,6,0.8450980400142568
study,1,6,0.8450980400142568
subsequently,1,6,0.8450980400142568
success,1,6,0.8450980400142568
successful,1,6,0.8450980400142568
summaries,1,6,0.8450980400142568
superiority,1,6,0.8450980400142568
supervised,2,6,0.6020599913279624
surpassing,1,6,0.8450980400142568
susceptible,1,6,0.8450980400142568
symbolic,1,6,0.8450980400142568
systems,2,6,0.6020599913279624
take,2,6,0.6020599913279624
taking,1,6,0.8450980400142568
task,3,6,0.47712125471966244
tasks,5,6,0.3424226808222063
technique,2,6,0.6020599913279624
techniques,3,6,0.47712125471966244
template,2,6,0.6020599913279624
text,3,6,0.47712125471966244
textual,1,6,0.8450980400142568
three,1,6,0.8450980400142568
thus,1,6,0.8450980400142568
tiangong,1,6,0.8450980400142568
time,3,6,0.47712125471966244
titles,1,6,0.8450980400142568
tools,1,6,0.8450980400142568
top,2,6,0.6020599913279624
topological,1,6,0.8450980400142568
traditional,1,6,0.8450980400142568
traditionally,1,6,0.8450980400142568
trained,1,6,0.8450980400142568
training,1,6,0.8450980400142568
transform,1,6,0.8450980400142568
trec,1,6,0.8450980400142568
tuned,1,6,0.8450980400142568
tuning,1,6,0.8450980400142568
two,1,6,0.8450980400142568
typically,1,6,0.8450980400142568
ul2,1,6,0.8450980400142568
ultimately,1,6,0.8450980400142568
understand,2,6,0.6020599913279624
understanding,1,6,0.8450980400142568
unleash,1,6,0.8450980400142568
unparalleled,1,6,0.8450980400142568
upto,1,6,0.8450980400142568
use,2,6,0.6020599913279624
used,3,6,0.47712125471966244
user,4,6,0.3979400086720376
using,5,6,0.3424226808222063
usually,1,6,0.8450980400142568
variable,1,6,0.8450980400142568
variant,1,6,0.8450980400142568
variants,1,6,0.8450980400142568
various,2,6,0.6020599913279624
vectors,1,6,0.8450980400142568
viewers,1,6,0.8450980400142568
web,1,6,0.8450980400142568
weighted,1,6,0.8450980400142568
well,1,6,0.8450980400142568
within,1,6,0.8450980400142568
word,1,6,0.8450980400142568
words,1,6,0.8450980400142568
world,1,6,0.8450980400142568
x,1,6,0.8450980400142568
years,1,6,0.8450980400142568
zero,1,6,0.8450980400142568
